REGION,TYPE,AREA,GENDER,MATH,READING,SCIENCE
NORTH,PUBLIC,RURAL,Male,533.113,462.383,568.202
NORTH,PUBLIC,RURAL,Female,559.519,513.367,504.513
NORTH,PUBLIC,RURAL,Female,636.633,627.668,665.461
SOUTH,PUBLIC,URBAN,Male,533.424,568.561,535.006
SOUTH,PUBLIC,URBAN,Male,642.865,643.222,575.382
SOUTH,PUBLIC,URBAN,Female,453.583,528.379,499.478
SOUTH,PUBLIC,URBAN,Female,480.768,495.018,507.963
SOUTH,PUBLIC,URBAN,Female,582.264,567.3,552.723
SOUTH,PUBLIC,URBAN,Female,571.281,582.392,608.952
SOUTH,PUBLIC,URBAN,Male,638.113,618.442,648.769
SOUTH,PUBLIC,URBAN,Female,418.453,569.048,551.604
SOUTH,PUBLIC,URBAN,Female,587.794,554.75,554.215
SOUTH,PUBLIC,URBAN,Male,427.099,484.437,458.821
SOUTH,PUBLIC,URBAN,Female,457.478,512.493,520.925
SOUTH,PUBLIC,URBAN,Female,482.793,524.408,503.301
SOUTH,PUBLIC,URBAN,Female,467.526,547.601,504.98
SOUTH,PUBLIC,URBAN,Male,578.914,564.551,577.9
SOUTH,PUBLIC,URBAN,Female,493.153,545.774,534.073
SOUTH,PUBLIC,URBAN,Male,395.552,494.782,398.862
SOUTH,PUBLIC,URBAN,Male,503.357,541.455,570.254
SOUTH,PUBLIC,URBAN,Female,513.951,508.362,507.963
SOUTH,PUBLIC,URBAN,Male,619.731,566.315,642.801
SOUTH,PUBLIC,URBAN,Male,461.295,478.903,510.761
SOUTH,PUBLIC,URBAN,Male,545.108,487.404,508.896
SOUTH,PUBLIC,URBAN,Female,472.433,533.939,519.806
SOUTH,PUBLIC,URBAN,Male,514.963,495.504,590.022
SOUTH,PUBLIC,URBAN,Female,527.66,560.628,521.578
SOUTH,PUBLIC,URBAN,Male,541.681,496.867,532.768
SOUTH,PUBLIC,URBAN,Female,494.088,513.367,451.361
SOUTH,PUBLIC,URBAN,Male,479.366,455.487,451.361
SOUTH,PUBLIC,URBAN,Male,603.295,617.48,581.63
SOUTH,PUBLIC,URBAN,Female,527.504,498.354,502.369
SOUTH,PUBLIC,URBAN,Male,508.031,542.097,549.925
SOUTH,PUBLIC,URBAN,Female,435.823,465.629,471.317
SOUTH,PUBLIC,URBAN,Female,499.774,607.969,541.16
SOUTH,PUBLIC,URBAN,Female,434.266,456.097,469.452
SOUTH,PUBLIC,URBAN,Female,512.938,487.869,533.141
SOUTH,PUBLIC,URBAN,Female,651.823,589.382,673.946
NORTH,PUBLIC,URBAN,Male,716.007,713.873,696.326
NORTH,PUBLIC,URBAN,Male,759.861,664.794,701.921
NORTH,PUBLIC,URBAN,Female,541.447,527.505,568.575
NORTH,PUBLIC,URBAN,Female,604.775,574.926,561.675
NORTH,PUBLIC,URBAN,Male,721.538,611.064,685.043
